sink 0.9470022 0.30140555 0.22597426 0.99910223 0.5719668
tennis racket 0.59158057 0.20940317 0.760586 0.2810159 0.8000361
tennis racket 0.5397064 0.2255909 0.7403584 0.27714506 0.75981504
tennis racket 0.5137067 0.8394287 0.7160801 0.93654364 0.7562422
tennis racket 0.5026257 0.24791755 0.80954635 0.28502822 0.8334704
tennis racket 0.47168106 0.87442446 0.66802454 0.96400905 0.70160705
tennis racket 0.45704496 0.0 0.654012 0.04304682 0.67903733
tennis racket 0.45347404 0.12162408 0.7697188 0.19451678 0.80873865
tennis racket 0.44430038 0.61131734 0.6816518 0.6570534 0.70181483
tennis racket 0.43189302 0.51116717 0.68236524 0.5771836 0.7126016
tennis racket 0.42474997 0.22197664 0.673047 0.2677913 0.6955224
tennis racket 0.38845214 0.5270337 0.6432933 0.58598197 0.66268873
tennis racket 0.38283008 0.22900863 0.7970421 0.28248388 0.8152006
tennis racket 0.36396328 0.3410226 0.6640197 0.3868106 0.6842399
tennis racket 0.35720336 0.21905702 0.7193136 0.2745684 0.7432451
tennis racket 0.3402517 0.49278948 0.65493906 0.5798228 0.68550766
tennis racket 0.33830473 0.06280136 0.6515138 0.16227752 0.67797554
tennis racket 0.33731103 0.860553 0.75380397 0.92249393 0.7764123
tennis racket 0.33318 0.14328808 0.80963475 0.20156932 0.83083886
tennis racket 0.3328136 0.019931447 0.73340094 0.06893821 0.75446135
tennis racket 0.32559043 0.7056471 0.7024341 0.7494912 0.72868174
tennis racket 0.3231181 0.9151499 0.65147275 0.98647904 0.6863202
tennis racket 0.30304074 0.29263458 0.08006885 0.31254813 0.09053574
tennis racket 0.30087063 0.21458626 0.6923446 0.27118596 0.7198437
