spoon 0.7649356 0.94275707 0.46464348 0.97455174 0.564134
tennis racket 0.69603765 0.5492071 0.43743333 0.65132093 0.482093
tennis racket 0.6606889 0.7485288 0.8244108 0.82398134 0.88303995
tennis racket 0.6458568 0.57228994 0.39105976 0.6493987 0.42194703
tennis racket 0.62774295 0.54329455 0.47691074 0.6479833 0.5279788
tennis racket 0.51439995 0.5410789 0.52383125 0.62685084 0.5699225
tennis racket 0.5104551 0.54096985 0.5229309 0.6428771 0.57095784
sink 0.48076472 0.3080891 0.10574692 0.76608753 0.6847268
tennis racket 0.47917148 0.38026065 0.19748935 0.43743354 0.22013228
tennis racket 0.460446 0.51317865 0.21558176 0.5619599 0.24285772
tennis racket 0.45822442 0.5174438 0.26682246 0.5553601 0.2874388
tennis racket 0.45093498 0.3065925 0.10172921 0.75263715 0.6303311
tennis racket 0.45008865 0.6798245 0.45036694 0.74337924 0.49166718
tennis racket 0.43905443 0.6614842 0.4070351 0.7474533 0.45040813
tennis racket 0.4386824 0.57767016 0.4164059 0.6467834 0.4415916
tennis racket 0.4280593 0.5210741 0.2385782 0.5581897 0.2622967
tennis racket 0.4240575 0.3127957 0.12180881 0.76893395 0.7264843
tennis racket 0.40921736 0.3047155 0.12224955 0.76189125 0.72607255
tennis racket 0.40005472 0.3404678 0.3954702 0.3799284 0.44567585
tennis racket 0.38109237 0.5004266 0.60544634 0.5259653 0.6375553
tennis racket 0.3689801 0.658009 0.46186993 0.6902217 0.4920607
tennis racket 0.36598924 0.44598475 0.5805794 0.49430552 0.6083212
tennis racket 0.3587238 0.35801595 0.13376862 0.43290734 0.17313048
tennis racket 0.3532086 0.3259589 0.44268656 0.37847245 0.48822808
tennis racket 0.32826957 0.380942 0.1986181 0.42138726 0.21832244
tennis racket 0.32749927 0.47891054 0.46205178 0.5099097 0.49344465
tennis racket 0.31673306 0.38537362 0.16382155 0.4361122 0.19671576
tennis racket 0.31528038 0.5854013 0.22883274 0.63061297 0.25484198
tennis racket 0.31132966 0.42464328 0.49982086 0.46168065 0.5233171
tennis racket 0.30740616 0.66926455 0.15298197 0.7026073 0.1847066
