clock 0.87299526 0.30433422 0.64187676 0.37980318 0.74397653
tennis racket 0.7475277 0.6388745 0.4118624 0.7104129 0.5329481
tennis racket 0.73957753 0.6752002 0.5189489 0.7497822 0.64284533
tennis racket 0.6567509 0.5538795 0.37463036 0.61307895 0.4701131
tennis racket 0.64021313 0.52573425 0.23629285 0.578672 0.32231027
tennis racket 0.60655886 0.597019 0.53424937 0.6650962 0.64684427
tennis racket 0.5426427 0.6554018 0.467735 0.72916913 0.59215015
tennis racket 0.538231 0.60966986 0.32642725 0.677628 0.43603233
tennis racket 0.5050474 0.6041586 0.5842556 0.6822477 0.69383293
tennis racket 0.4482697 0.5199782 0.20871824 0.5687428 0.28962818
tennis racket 0.4326731 0.5178158 0.46260625 0.5801127 0.55264944
tennis racket 0.38680524 0.5660878 0.7063301 0.6338213 0.8037861
tennis racket 0.34916005 0.5168882 0.42609048 0.5653154 0.51556087
tennis racket 0.34389564 0.5413892 0.29474837 0.59501946 0.39621794
tennis racket 0.34249863 0.5618584 0.6623043 0.62250674 0.7511256
tennis racket 0.3259592 0.5682889 0.19873181 0.6314633 0.31284046
tennis racket 0.32445556 0.5276316 0.5068312 0.5778155 0.5906475
