cake 0.9502058 0.6723368 0.3959695 0.99771214 0.53691024
cake 0.93209416 0.6724074 0.5721604 0.9986345 0.7290563
microwave 0.92435503 0.5436893 0.55757254 0.636587 0.65054566
cake 0.86028796 0.67038167 0.21115775 0.9983222 0.37073082
tennis racket 0.80421215 0.5839453 0.6872466 0.6617857 0.71727747
tennis racket 0.72693235 0.41207924 0.74962544 0.4925975 0.7763976
tennis racket 0.696076 0.13415949 0.80462325 0.23222955 0.8267133
tennis racket 0.6853945 0.38934803 0.7065496 0.4939363 0.7280132
tennis racket 0.6701411 0.5666018 0.6611048 0.6574515 0.6863589
wine glass 0.5812351 0.32297078 0.8141219 0.3614567 0.836574
tennis racket 0.57999843 0.40202996 0.77131975 0.49149463 0.7894783
tennis racket 0.54905427 0.11792725 0.7186291 0.23166065 0.73948
tennis racket 0.5158708 0.5918517 0.714674 0.65552604 0.73565114
tennis racket 0.51025194 0.41641656 0.72484446 0.49332827 0.74785316
tennis racket 0.49632433 0.40168434 0.80493575 0.49426225 0.82142204
tennis racket 0.48529705 0.50051606 0.42670342 0.5352776 0.4359428
tennis racket 0.46452615 0.8588756 0.8117131 0.942157 0.83121395
toaster 0.45958608 0.5686371 0.38395005 0.5822667 0.43876582
tennis racket 0.45893186 0.5080612 0.40756333 0.5506828 0.41719502
tennis racket 0.45587367 0.7480332 0.7633783 0.7708582 0.79467875
wine glass 0.45142388 0.33094382 0.7156011 0.36198527 0.7335825
tennis racket 0.43791983 0.5915093 0.6614137 0.65512335 0.686289
tennis racket 0.43537572 0.42019185 0.8146206 0.49674278 0.8463601
tennis racket 0.42879748 0.41494077 0.78451765 0.49369952 0.8083476
tennis racket 0.42281887 0.86772037 0.8262165 0.94186157 0.8435176
tennis racket 0.41284356 0.87938696 0.7835204 0.94376785 0.80649644
wine glass 0.40183473 0.32903388 0.74969774 0.36023977 0.7603137
tennis racket 0.376409 0.41598365 0.7375489 0.4925865 0.7506302
tennis racket 0.36901453 0.7485072 0.79435146 0.77161735 0.8108847
wine glass 0.3653842 0.3324522 0.73458666 0.36066636 0.7456575
tennis racket 0.3595001 0.111018226 0.7547032 0.23412621 0.78741056
tennis racket 0.3570954 0.9564638 0.8393734 0.99376047 0.85387796
tennis racket 0.35356283 0.84078884 0.80758643 0.87629914 0.8213539
tennis racket 0.3469034 0.5815029 0.697423 0.61139584 0.7100767
tennis racket 0.34014973 0.87528586 0.7659451 0.93585724 0.7834387
tennis racket 0.33961168 0.9483539 0.8558876 0.9902898 0.87385637
tennis racket 0.3389347 0.83634305 0.8256153 0.94000113 0.8438232
spoon 0.33590177 0.2945026 0.77493715 0.3219129 0.82090855
tennis racket 0.3275579 0.8588105 0.79257804 0.9405831 0.8134821
tennis racket 0.3259065 0.97880214 0.8668435 1.0 0.8897106
tennis racket 0.32543555 0.5139047 0.4883326 0.53584737 0.49924472
toaster 0.3237098 0.5425709 0.40047705 0.5547699 0.43836582
tennis racket 0.31911275 0.106406756 0.7598692 0.21500814 0.7828021
tennis racket 0.31172577 0.83509123 0.85327667 0.94089794 0.8758449
wine glass 0.3109059 0.33351848 0.70796615 0.36346775 0.7184364
tennis racket 0.30347884 0.83326966 0.7901487 0.8695435 0.8050274
